Title,Date
"Explicando: Temporada 2: Inteligência animal","13/02/2021"
"Explicando: Temporada 2: Código de programação","13/02/2021"
"The Crown: Temporada 1: Assassinos","09/02/2021"
"The Crown: Temporada 1: Orgulho e Alegria","09/02/2021"
"O Tigre Branco","07/02/2021"
"The Crown: Temporada 1: Saber é Poder","05/02/2021"
"A Indústria da Cura: Leite materno é ouro líquido","31/01/2021"
"A Indústria da Cura: Sexo tântrico","31/01/2021"
"A Indústria da Cura: Óleos essenciais","31/01/2021"
"The Crown: Temporada 1: Explosivo","31/01/2021"
"The Crown: Temporada 1: Ilusões","31/01/2021"
"The Royal House of Windsor: Adaptar ou morrer","30/01/2021"
"O Código Bill Gates: Minissérie: Parte 3","30/01/2021"
"Amor além da vida","30/01/2021"
"O Código Bill Gates: Minissérie: Parte 2","30/01/2021"
"O Código Bill Gates: Minissérie: Parte 1","30/01/2021"
"Nosso Planeta: Temporada 1: Selvas","29/01/2021"
"Nosso Planeta: Temporada 1: Mundos congelados","29/01/2021"
"Nosso Planeta: Temporada 1: Um só planeta","29/01/2021"
"Kardec","26/01/2021"
"Pai Em Dobro","24/01/2021"
"The Crown: Temporada 1: Ato Divino","24/01/2021"
"The Crown: Temporada 1: Windsor","24/01/2021"
"The Crown: Temporada 1: Hyde Park Corner","24/01/2021"
"The Crown: Temporada 1: Wolferton Splash","23/01/2021"
"O Dilema das Redes","20/01/2021"
"Tempestade: Planeta em Fúria","16/01/2021"
"Vida Após a Morte: Médiuns – Parte 2","16/01/2021"
"Vida Após a Morte: Médiuns – Parte 1","16/01/2021"
"Vida Após a Morte: Relatos dos ressuscitados","15/01/2021"
"Bridgerton: Temporada 1: Depois da tempestade","10/01/2021"
"Bridgerton: Temporada 1: Um oceano de distância","10/01/2021"
"Bridgerton: Temporada 1: Farfalhar","10/01/2021"
"Bridgerton: Temporada 1: O duque e eu","10/01/2021"
"Bridgerton: Temporada 1: Questão de honra","10/01/2021"
"Bridgerton: Temporada 1: A arte de desfalecer","10/01/2021"
"Bridgerton: Temporada 1: Choque e deleite","10/01/2021"
"Bridgerton: Temporada 1: Diamante raro","10/01/2021"
"2020 Nunca Mais","10/01/2021"
"O Gambito da Rainha: Minissérie: Fim de jogo","09/01/2021"
"O Gambito da Rainha: Minissérie: Partidas adiadas","09/01/2021"
"O Gambito da Rainha: Minissérie: Treinamento","07/01/2021"
"O Gambito da Rainha: Minissérie: Meio de jogo","28/12/2020"
"O Gambito da Rainha: Minissérie: Peões duplos","25/12/2020"
"O Gambito da Rainha: Minissérie: O torneio","22/12/2020"
"Friends: Temporada 8: Aquele com o videotape","20/12/2020"
"Friends: Temporada 8: Aquele em que Rachel conta...","20/12/2020"
"Friends: Temporada 8: Aquele do suéter vermelho","20/12/2020"
"Friends: Temporada 8: Aquele depois do sim","20/12/2020"
